density,modularity,modularity_louvain,modularity_leiden,efficiency,rich_club,small_worldness,participation,run_id,path
0.135,0.323537857242584,0.323537857242584,0.33174109481580333,0.570539608913144,1.0538033142054766,0.5793732002755936,0.4363224915373399,run_015_l1-1e-06_beta0.003_alpha0.03_trav50_blk1_temp1.0,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_015_l1-1e-06_beta0.003_alpha0.03_trav50_blk1_temp1.0
0.135,0.28685716600310845,0.28685716600310845,0.280703930101181,0.5055242441336777,1.0872668601537243,0.47119329701183454,0.491067471791673,run_016_l1-1e-06_beta0.003_alpha0.1_trav50_blk1_temp0.0001,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_016_l1-1e-06_beta0.003_alpha0.1_trav50_blk1_temp0.0001
0.135,0.30429159039651466,0.30429159039651466,0.3190191594112741,0.5598646362647864,1.0259356153207357,0.5624350608631123,0.5418315621993098,run_017_l1-1e-06_beta0.003_alpha0.1_trav50_blk1_temp1.0,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_017_l1-1e-06_beta0.003_alpha0.1_trav50_blk1_temp1.0
0.135,0.01115942391525454,0.01115942391525454,0.014905433409964614,0.30002077380729697,0.8253558643089954,0.40471710286140494,0.29868894434042526,run_018_l1-1e-05_beta0.0001_alpha0.01_trav50_blk1_temp0.0001,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_018_l1-1e-05_beta0.0001_alpha0.01_trav50_blk1_temp0.0001
0.135,0.2771731893520092,0.2771731893520092,0.2927969906388078,0.5096818697259452,1.057894691515813,0.4769394429380003,0.39525873578071,run_019_l1-1e-05_beta0.0001_alpha0.01_trav50_blk1_temp1.0,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_019_l1-1e-05_beta0.0001_alpha0.01_trav50_blk1_temp1.0
0.135,0.1963747354986109,0.1963747354986109,0.19313726075726007,0.2514066817245691,1.0514826440694762,0.05985607768136891,0.31382750899009365,run_020_l1-1e-05_beta0.0001_alpha0.03_trav50_blk1_temp0.0001,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_020_l1-1e-05_beta0.0001_alpha0.03_trav50_blk1_temp0.0001
0.135,0.29407227667858604,0.29407227667858604,0.3131962331261956,0.55101992643713,1.0292411395781016,0.4575930130248499,0.4658644857205384,run_021_l1-1e-05_beta0.0001_alpha0.03_trav50_blk1_temp1.0,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_021_l1-1e-05_beta0.0001_alpha0.03_trav50_blk1_temp1.0
0.135,0.24913272351761473,0.24913272351761473,0.2510226673387572,0.26758908542323095,1.0227306426431404,0.07817743094290286,0.2812271346094122,run_022_l1-1e-05_beta0.0001_alpha0.1_trav50_blk1_temp0.0001,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_022_l1-1e-05_beta0.0001_alpha0.1_trav50_blk1_temp0.0001
0.135,0.3057612359054691,0.3057612359054691,0.30896360000668627,0.5551003581677969,1.0474292248109798,0.5404425920159031,0.505757210208225,run_023_l1-1e-05_beta0.0001_alpha0.1_trav50_blk1_temp1.0,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_023_l1-1e-05_beta0.0001_alpha0.1_trav50_blk1_temp1.0
0.135,0.20724007877852813,0.20724007877852813,0.2106280051818849,0.297854084436024,1.0916866108651624,0.07004852818866225,0.3272004504836237,run_024_l1-1e-05_beta0.001_alpha0.01_trav50_blk1_temp0.0001,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_024_l1-1e-05_beta0.001_alpha0.01_trav50_blk1_temp0.0001
0.135,0.29129075785017394,0.29129075785017394,0.28778068728815076,0.5169960552467299,1.0594740606563378,0.47518452417799506,0.45266695325149703,run_025_l1-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_025_l1-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0
