group,datasets,citations,initial_n,final_n,n_excluded,n_with_demographics,n_female,n_male,age_mean_days,age_sd_days,age_mean_months,age_sd_months
existing_pooled,Roris_smiley + Roris_nostd,Poli et al. (2020); Poli et al. (2024); Scatolin et al. (2025),173,145,28,136,64,72,249.24219669117647,18.788182846869866,8.188655332769658,0.6172708943530141
new,MPI,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,NA
