"dataset","subj_id","nseq","ntrialseq","ntrialsubj","event","D","I","H"
"MPI",1,12,6,119,0,0.00401892619144097,0.736965594166206,1.49111485005519
"MPI",1,12,7,120,0,0.00289916987773836,0.652076696579693,1.41829583405449
"MPI",1,12,8,121,0,0.038368936426218,3.58496250072116,1.54659356429494
"MPI",1,12,9,122,0,0.00232229701068887,0.700439718141092,1.48383170684469
"MPI",1,12,10,123,1,0.00179972207911885,0.637429920615292,1.42560519901694
"MPI",1,13,0,124,0,0.0780719051126377,2,1.92192809488736
"MPI",1,13,1,125,0,0.0702989274995394,2.32192809488736,1.91829583405449
"MPI",1,13,2,126,0,0.0283057932583333,1.58496250072116,1.84237099317711
"MPI",1,13,3,127,0,0.0573549220576041,2.8073549220576,1.90563906222957
"MPI",1,13,4,128,0,0.0145361093482848,1.41503749927884,1.83659166810898
"MPI",1,13,5,129,1,0.0479969065549502,3.16992500144231,1.92192809488736
"MPI",1,14,0,130,0,0.0780719051126377,2,1.92192809488736
"MPI",1,14,1,131,0,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",1,14,2,132,0,0.0633218643778377,2.58496250072116,1.84237099317711
"MPI",1,14,3,133,0,0.0148736716970261,1.22239242133645,1.75
"MPI",1,14,4,134,1,0.00892394016177787,1,1.65774272650489
"MPI",2,0,0,1,0,0.0780719051126377,2,1.92192809488736
"MPI",2,0,1,2,0,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",2,0,2,3,0,0.0147718639657485,1,1.66449777920046
"MPI",2,0,3,4,0,0.00855998136220558,0.807354922057604,1.5487949406954
"MPI",2,0,4,5,0,0.00543126911355016,0.678071905112638,1.44661666762821
"MPI",2,0,5,6,0,0.00367160149046366,0.584962500721156,1.35677964944704
"MPI",2,0,6,7,0,0.00260198748089857,0.514573172829758,1.27761343681912
"MPI",2,0,7,8,0,0.00191286899787533,0.459431618637297,1.20751874963942
"MPI",2,0,8,9,1,0.00144823907625648,0.415037499278844,1.14511041438158
"MPI",2,1,0,10,0,0.0780719051126377,2,1.92192809488736
"MPI",2,1,1,11,0,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",2,1,2,12,0,0.0633218643778377,2.58496250072116,1.84237099317711
"MPI",2,1,3,13,0,0.0148736716970261,1.22239242133645,1.75
"MPI",2,1,4,14,0,0.00892394016177786,1,1.65774272650489
"MPI",2,1,5,15,0,0.0479969065549501,3.16992500144231,1.76096404744368
"MPI",2,1,6,16,0,0.00596978852304345,1,1.68581570915303
"MPI",2,1,7,17,1,0.0411357845828078,3.4594316186373,1.79248125036058
"MPI",2,6,0,18,0,0.0780719051126377,2,1.92192809488736
"MPI",2,6,1,19,0,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",2,6,2,20,0,0.0633218643778377,2.58496250072116,1.84237099317711
