run_id,baseline_stay,reward_modulation,timescale_balance,fitted_alpha_hl,fitted_beta_hl,fitted_T,fitted_eps,beta0,beta1,std_X,aic,valid_mvt,n_decisions,n_fit,n_steps_total,config_alpha,config_beta,config_temp,config_l1,config_trav
run_004_l1-1e-06_beta0.0001_alpha0.1_trav50_blk1_temp0.0001,0.9902875619822716,0.6146086395325778,0.125,1,7,0.01709598694483523,-0.07906189664814219,-4.624588033627805,-58.493259454792934,0.08704539672179028,5626.71063738236,True,600000,50000,1412301,0.1,0.0001,0.0001,1e-06,50.0
run_012_l1-1e-06_beta0.003_alpha0.01_trav50_blk1_temp0.0001,0.9955829329134478,0.005764927865396174,0.16666666666666666,1,5,0.13866698702447372,-0.7512772832986738,-5.417852507072061,-7.211521800956902,0.08552294552650054,2999.889184996347,True,600000,50000,765151,0.01,0.003,0.0001,1e-06,50.0
run_020_l1-1e-05_beta0.0001_alpha0.03_trav50_blk1_temp0.0001,0.9889343935321061,0.6579824749035368,0.0625,1,15,0.03593051901099924,-0.16142814039132006,-4.492786211685471,-27.8314933244876,0.18494845293444578,6502.393106964032,True,600000,50000,1348401,0.03,0.0001,0.0001,1e-05,50.0
run_028_l1-1e-05_beta0.001_alpha0.1_trav50_blk1_temp0.0001,0.9890164638170937,0.8421497332031027,0.09090909090909091,1,10,0.015146026728277468,-0.06816186912391135,-4.500313537454274,-66.02391623494304,0.09352366065143633,6396.837863787244,True,600000,50000,1565601,0.1,0.001,0.0001,1e-05,50.0
run_036_l1-0.0001_beta0.0001_alpha0.01_trav50_blk1_temp0.0001,0.9968807072896869,0.005950932549854682,0.125,1,7,0.06839651009399848,-0.39444437202671245,-5.767024830428056,-14.620629014926099,0.058287950366653796,2149.0828574018365,True,600000,50000,716201,0.01,0.0001,0.0001,0.0001,50.0
run_044_l1-0.0001_beta0.001_alpha0.03_trav50_blk1_temp0.0001,0.9788629737657766,0.9999750893374235,0.00014283673760891302,1,7000,0.04370848632297003,-0.16763801467709707,-3.8353653667708603,-22.878852235028603,0.630976638567383,10528.628816288634,True,600000,50000,1860551,0.03,0.001,0.0001,0.0001,50.0
run_052_l1-0.0001_beta0.003_alpha0.1_trav50_blk1_temp0.0001,0.9782041118446413,0.8117935165928895,0.25,1,3,0.01981538688406719,-0.07537767258380065,-3.803997016298936,-50.465832731434716,0.10435686780727581,11729.870919683985,True,600000,50000,2565301,0.1,0.003,0.0001,0.0001,50.0
run_060_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp0.0001,0.9973723619925382,0.006555918754103551,0.00014283673760891302,1,7000,0.08746565933010816,-0.5194619475810777,-5.93903883603681,-11.433058501575504,0.09188723137722904,1898.4996810887158,True,600000,50000,734901,0.01,0.001,0.0001,,50.0
run_068_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp0.0001,0.9936965416003284,0.11623283931970174,0.0196078431372549,1,50,0.031766089156177714,-0.1607470030497942,-5.060333434798438,-31.480110601072365,0.09640056914625643,3953.7256901099045,True,600000,50000,1065451,0.03,0.003,0.0001,,50.0
run_076_dist-0.0001_beta0.0001_alpha0.1_trav50_blk1_temp0.0001,0.9958476188426244,0.1341221658330416,0.3333333333333333,1,2,0.011826058931233665,-0.06480576591830679,-5.4799123101905955,-84.55902391615112,0.04276166533493759,3028.2405960218184,True,600000,50000,989301,0.1,0.0001,0.0001,,50.0
run_084_dist-0.0001_beta0.003_alpha0.01_trav50_blk1_temp0.0001,0.9949672286480383,0.007076218812855473,0.25,1,3,0.18050090500680696,-0.954261174683318,-5.286739003592981,-5.540138427351866,0.11901193796443142,3264.16041587801,True,600000,50000,756401,0.01,0.003,0.0001,,50.0
run_092_l1-1e-06_beta0.0001_alpha0.03_trav500_blk1_temp0.0001,0.9857480582118605,0.5467230666809724,0.16666666666666666,1,5,0.02085361565094629,-0.08834650201917314,-4.236507639631508,-47.953314990468925,0.09226985683347139,8192.792748227126,True,600000,50000,11678001,0.03,0.0001,0.0001,1e-06,500.0
run_1000_l1-0.0005_beta0.0001_alpha0.03_trav50_blk1_temp0.1,0.4949637552578843,0.13000126654992106,0.0007137758743754461,5,7000,0.17892384261112634,0.003604538949208883,0.020145660279848782,-5.588970063500163,0.04679013394810918,68594.02944586048,True,600000,50000,15613051,0.03,0.0001,0.1,0.0005,50.0
run_1008_l1-0.0005_beta0.0001_alpha0.1_trav50_blk1_temp0.01,0.7905987767324371,0.9999228891399423,0.00014283673760891302,1,7000,0.026046399174700387,-0.03460364313673197,-1.328538463402783,-38.393022900890216,0.2830342083455505,30362.635087350835,True,600000,50000,8847001,0.1,0.0001,0.01,0.0005,50.0
run_1015_l1-0.0005_beta0.0001_alpha0.2_trav50_blk1_temp0.0001_eps-0.01,0.922521655119403,0.9999812656185053,0.16666666666666666,1,5,0.018022441688839434,-0.044643613309996076,-2.4771123736048515,-55.48637733250425,0.24094693992553762,23076.935186884173,True,600000,50000,7421951,0.2,0.0001,0.0001,0.0005,50.0
run_1022_l1-0.0005_beta0.0001_alpha0.2_trav50_blk1_temp1.0,0.4793488958124076,0.08048753636045186,0.2,5,20,0.21589541678569857,0.017844066169215498,0.08265143575015221,-4.63187229672697,0.03488850746172498,68964.03532425793,True,600000,50000,16173251,0.2,0.0001,1.0,0.0005,50.0
run_102_l1-1e-06_beta0.003_alpha0.01_trav500_blk1_temp0.0001,0.9760669888175811,0.3602588624114873,0.3333333333333333,1,2,0.021554375868708172,-0.07992949914181888,-3.7082724931904663,-46.3942916320654,0.06765131810729497,12358.118458635538,True,600000,50000,17305001,0.01,0.003,0.0001,1e-06,500.0
run_1037_l1-0.0005_beta0.001_alpha0.03_trav50_blk1_temp0.001_eps-0.01,0.9411261144737592,0.7261497978147292,0.00014283673760891302,1,7000,0.1162945122064709,-0.322331118898645,-2.771679529695897,-8.598858028868861,0.43659555945142003,22241.551848159957,True,600000,50000,3683851,0.03,0.001,0.001,0.0005,50.0
run_1044_l1-0.0005_beta0.001_alpha0.1_trav50_blk1_temp0.0001,0.929177926809342,0.9964721419214052,0.125,1,7,0.030193134771056604,-0.07772103967331502,-2.574129525226346,-33.120111826169456,0.24829303936082872,23561.83624926268,True,600000,50000,5789501,0.1,0.001,0.0001,0.0005,50.0
