run_id,baseline_stay,reward_modulation,timescale_balance,fitted_alpha_hl,fitted_beta_hl,fitted_T,fitted_eps,beta0,beta1,std_X,aic,valid_mvt,n_decisions,n_fit,n_steps_total,config_alpha,config_beta,config_temp,config_l1,config_trav
run_007_l1-1e-06_beta0.001_alpha0.01_trav50_blk1_temp1.0,0.501200899210505,0.009054580790385847,0.4,2,3,1.4659878580390475,-0.0070420281863020715,-0.004803606078785478,-0.6821338897974449,0.02654868968916459,69314.61316821694,True,600000,50000,15584551,0.01,0.001,1.0,1e-06,50.0
run_015_l1-1e-06_beta0.003_alpha0.03_trav50_blk1_temp1.0,0.4989005763379658,0.007353951545342519,0.09090909090909091,5,50,2.028703046159707,0.008921630907258917,0.004397701735671655,-0.492925764513924,0.02983864997041875,69315.90316791761,True,600000,50000,15637451,0.03,0.003,1.0,1e-06,50.0
run_023_l1-1e-05_beta0.0001_alpha0.1_trav50_blk1_temp1.0,0.4937728835679264,0.03227219332516834,0.16666666666666666,20,100,0.10342857694577598,0.0025763803753540314,0.024909753681564607,-9.668507771544274,0.006679088710091775,69261.54873192802,True,600000,50000,15790751,0.1,0.0001,1.0,1e-05,50.0
run_031_l1-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0,0.5013588366500202,2.0980221234423446e-05,0.014084507042253521,1,70,3203.718846785252,-17.413365211817144,-0.005435359981507259,-0.0003121372529313684,0.1344304532453191,69318.32391698645,True,600000,50000,15581951,0.01,0.003,1.0,1e-05,50.0
run_039_l1-0.0001_beta0.0001_alpha0.03_trav50_blk1_temp1.0,0.4985945118845613,0.015241196666305523,0.006622516556291391,10,1500,0.6167301050954136,0.003467236464822737,0.005621967269274661,-1.6214548174931256,0.018801014056680797,69307.25093411516,True,600000,50000,15646851,0.03,0.0001,1.0,0.0001,50.0
run_047_l1-0.0001_beta0.001_alpha0.1_trav50_blk1_temp1.0,0.4922859291060685,0.037060104269053484,0.16666666666666666,20,100,0.10038001255346818,0.0030975999196693445,0.0308587321407176,-9.962142607497109,0.007445367909104473,69241.51469058858,True,600000,50000,15832351,0.1,0.001,1.0,0.0001,50.0
run_055_dist-1e-05_beta0.0001_alpha0.01_trav50_blk1_temp1.0,0.5012443932585599,0.0,0.3333333333333333,1,2,-8.205422871357671,0.04084317594747867,-0.0049775833114035165,0.12187062332773348,0.08708966633347333,69317.0259341411,False,600000,50000,15584151,0.01,0.0001,1.0,,50.0
run_063_dist-1e-05_beta0.001_alpha0.03_trav50_blk1_temp1.0,0.4995390203753469,0.010757829390363016,0.4,2,3,1.1375809831680845,0.0020976072128618167,0.001843919021061802,-0.8790582954499372,0.024476769341754728,69313.1445842704,True,600000,50000,15634401,0.03,0.001,1.0,,50.0
run_071_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0,0.49289172927860936,0.028058709161380313,0.3333333333333333,10,20,0.13293311811477065,0.0037799530348196484,0.028434998655159395,-7.522579882137636,0.0074633300362314135,69272.18562994794,True,600000,50000,15802051,0.1,0.003,1.0,,50.0
run_079_dist-0.0001_beta0.001_alpha0.01_trav50_blk1_temp1.0,0.5010343318573228,3.2691233855186574e-05,0.09090909090909091,1,10,2565.7662196107253,-10.615430100011054,-0.004137333331024061,-0.0003897471220708949,0.16775684495953516,69318.48963796685,True,600000,50000,15585551,0.01,0.001,1.0,,50.0
run_087_dist-0.0001_beta0.003_alpha0.03_trav50_blk1_temp1.0,0.500062020440064,0.0,0.3333333333333333,1,2,-65.90734627242438,0.01635041056092586,-0.000248081761528409,0.015172815422829423,0.7307791005261869,69317.84965833361,False,600000,50000,15636651,0.03,0.003,1.0,,50.0
run_095_l1-1e-06_beta0.0001_alpha0.1_trav500_blk1_temp1.0,0.49188760506714435,0.033882573373208325,0.1891891891891892,7,30,0.25613719748373426,0.008312273848008922,0.032452427564867006,-3.9041576538819744,0.017368391902913966,69252.53092020696,True,600000,50000,153077501,0.1,0.0001,1.0,1e-06,500.0
run_1003_l1-0.0005_beta0.0001_alpha0.03_trav50_blk1_temp1.0_eps-0.01,0.5009929767610017,0.028305794774429904,0.004267425320056899,30,7000,0.24267802644879632,-0.0009638958298843197,-0.003971912265767895,-4.12068622212483,0.013742113923525853,69299.81811026263,True,600000,50000,15579501,0.03,0.0001,1.0,0.0005,50.0
run_1010_l1-0.0005_beta0.0001_alpha0.1_trav50_blk1_temp0.1,0.46971023077991186,0.4517207383017844,0.0625,2,30,0.10866056107547205,0.013181353748032589,0.12130761720323949,-9.202971069746575,0.10616629269242989,63267.87416813945,True,600000,50000,15542951,0.1,0.0001,0.1,0.0005,50.0
run_1018_l1-0.0005_beta0.0001_alpha0.2_trav50_blk1_temp0.01,0.6956196793860356,0.9999745267675856,0.00014283673760891302,1,7000,0.020835292158969395,-0.017220891918106832,-0.8265250991785782,-47.99548729003589,0.24126377642506877,30743.529637346805,True,600000,50000,10867001,0.2,0.0001,0.01,0.0005,50.0
run_1025_l1-0.0005_beta0.001_alpha0.01_trav50_blk1_temp0.0001_eps-0.01,0.9998375865159161,4.5302177253958575e-06,0.00028563267637817766,1,3500,3.9830508244320915,-34.752925715703896,-8.725202676935215,-0.2510638312386037,0.05555706786062961,106.95977719190012,True,600000,50000,605701,0.01,0.001,0.0001,0.0005,50.0
run_1032_l1-0.0005_beta0.001_alpha0.01_trav50_blk1_temp1.0,0.5015229381153863,0.006936020264190712,0.013806706114398421,7,500,2.5036799539933616,-0.01525184568840838,-0.006091771300114352,-0.39941207277911184,0.034732028977492044,69315.87687444898,True,600000,50000,15566901,0.01,0.001,1.0,0.0005,50.0
run_103_l1-1e-06_beta0.003_alpha0.01_trav500_blk1_temp1.0,0.49974309938350997,0.0,0.005681818181818182,2,350,-4.218291463432311,-0.004334727091406244,0.0010276025563864645,0.23706280342855368,0.07337410044853339,69314.91679046347,False,600000,50000,150896501,0.01,0.003,1.0,1e-06,500.0
run_1047_l1-0.0005_beta0.001_alpha0.1_trav50_blk1_temp0.001_eps-0.01,0.898431244958394,0.9990284330689515,0.09090909090909091,1,10,0.03512643202055017,-0.0765726087486366,-2.1799142225387134,-28.468590246084933,0.32064343000792067,26835.53015577932,True,600000,50000,6986701,0.1,0.001,0.001,0.0005,50.0
