run_id,baseline_stay,reward_modulation,timescale_balance,fitted_alpha_hl,fitted_beta_hl,fitted_T,fitted_eps,beta0,beta1,std_X,aic,valid_mvt,n_decisions,n_fit,n_steps_total,config_alpha,config_beta,config_temp,config_l1,config_trav
run_000_l1-1e-06_beta0.0001_alpha0.01_trav50_blk1_temp0.0001,0.995085550506191,0.02154575818202642,0.125,1,7,0.07820625650455573,-0.4153259756999881,-5.310648971873423,-12.786700766603593,0.1207255405848552,3351.346446993784,True,600000,50000,866251,0.01,0.0001,0.0001,1e-06,50.0
run_008_l1-1e-06_beta0.001_alpha0.03_trav50_blk1_temp0.0001,0.9956804517999618,0.07083598275618652,0.0625,1,15,0.02520913035385139,-0.13714461578111345,-5.440275561118705,-39.66816728555741,0.07235240666612809,3073.233588487896,True,600000,50000,929151,0.03,0.001,0.0001,1e-06,50.0
run_016_l1-1e-06_beta0.003_alpha0.1_trav50_blk1_temp0.0001,0.9907026810402131,0.27684459178359444,0.25,1,3,0.017153233631726966,-0.0800831028013962,-4.668688395479724,-58.298045806965504,0.0636327980872617,5907.447185926147,True,600000,50000,1412351,0.1,0.003,0.0001,1e-06,50.0
run_024_l1-1e-05_beta0.001_alpha0.01_trav50_blk1_temp0.0001,0.9966009678744384,0.006759425668353525,0.25,1,3,0.08858999802546776,-0.5032673526959361,-5.680859734879522,-11.287956002804302,0.07811281293877724,2460.2074303262684,True,600000,50000,756801,0.01,0.001,0.0001,1e-05,50.0
run_032_l1-1e-05_beta0.003_alpha0.03_trav50_blk1_temp0.0001,0.9921888347537818,0.1243064219278589,0.0625,1,15,0.03506528405795938,-0.1698688347510368,-4.844359294801683,-28.518234683258257,0.10155187059483681,5003.4956071593915,True,600000,50000,1163601,0.03,0.003,0.0001,1e-05,50.0
run_040_l1-0.0001_beta0.0001_alpha0.1_trav50_blk1_temp0.0001,0.973560198409906,0.8604888844954383,0.3333333333333333,1,2,0.01869888629052349,-0.06742985095428355,-3.6060891491947675,-53.47912086650827,0.1014684015235123,13504.265051580282,True,600000,50000,2970051,0.1,0.0001,0.0001,0.0001,50.0
run_048_l1-0.0001_beta0.003_alpha0.01_trav50_blk1_temp0.0001,0.9948286842890649,0.007105931991175818,0.014084507042253521,1,70,0.35080220734148454,-1.8450243541267772,-5.25944340005466,-2.850609201060588,0.2266996527756518,3322.496616990071,True,600000,50000,763101,0.01,0.003,0.0001,0.0001,50.0
run_056_dist-1e-05_beta0.0001_alpha0.03_trav50_blk1_temp0.0001,0.9964181241558258,0.7579556443756088,0.00014283673760891302,1,7000,0.034696982324474435,-0.19528434315696133,-5.628280330857832,-28.82095020968505,0.23489186319305075,2321.6749658414737,True,600000,50000,830751,0.03,0.0001,0.0001,,50.0
run_064_dist-1e-05_beta0.001_alpha0.1_trav50_blk1_temp0.0001,0.9954584940871283,0.3530371138005599,0.25,1,3,0.013524115359591644,-0.07289423489428051,-5.389944773177499,-73.94198980200022,0.06470472333660994,3325.676239464053,True,600000,50000,1169001,0.1,0.001,0.0001,,50.0
run_072_dist-0.0001_beta0.0001_alpha0.01_trav50_blk1_temp0.0001,0.9975422168872516,0.0077895324977868,0.3333333333333333,1,2,0.05938146284713868,-0.3566471264322369,-6.00603470059886,-16.84027223401731,0.07402306221955413,1816.4708683692008,True,600000,50000,699601,0.01,0.0001,0.0001,,50.0
run_080_dist-0.0001_beta0.001_alpha0.03_trav50_blk1_temp0.0001,0.995964134802561,0.09699674969412553,0.16666666666666666,1,5,0.02683975062322609,-0.1478465125598901,-5.508490545808178,-37.25817031752293,0.0880124444500045,2971.952363284492,True,600000,50000,915251,0.03,0.001,0.0001,,50.0
run_088_dist-0.0001_beta0.003_alpha0.1_trav50_blk1_temp0.0001,0.988798088648191,0.7625889436964776,0.09090909090909091,1,10,0.019452454390509685,-0.08715488818281494,-4.480405733547712,-51.407394662129235,0.1098587569796872,6311.545361601399,True,600000,50000,1426651,0.1,0.003,0.0001,,50.0
run_096_l1-1e-06_beta0.001_alpha0.01_trav500_blk1_temp0.0001,0.9889369906581011,0.992967419284719,0.009900990099009901,1,100,0.018988395895193383,-0.08531531027485617,-4.493023567959862,-52.6637429259169,0.17931301635748148,6315.313000209766,True,600000,50000,9279001,0.01,0.001,0.0001,1e-06,500.0
run_1004_l1-0.0005_beta0.0001_alpha0.1_trav50_blk1_temp0.0001,0.8987767857366625,0.9989007456959772,0.125,1,7,0.03554307144649924,-0.07761563939677772,-2.183706591412835,-28.134878593855834,0.3201848344072591,27407.41864546731,True,600000,50000,7074751,0.1,0.0001,0.0001,0.0005,50.0
run_1011_l1-0.0005_beta0.0001_alpha0.1_trav50_blk1_temp0.1_eps-0.01,0.4943627400393312,0.4748791411754414,0.09090909090909091,2,20,0.10223054886407097,0.0023052984019671244,0.022549995354444623,-9.7818119056529,0.10558612596824678,63457.33037911624,True,600000,50000,14956251,0.1,0.0001,0.1,0.0005,50.0
run_1019_l1-0.0005_beta0.0001_alpha0.2_trav50_blk1_temp0.01_eps-0.01,0.775988261072776,0.9999961933436172,0.00014283673760891302,1,7000,0.018500869928608287,-0.022986201152472366,-1.242438936178256,-54.05151238070589,0.2553349448986582,28872.796286711437,True,600000,50000,9398651,0.2,0.0001,0.01,0.0005,50.0
run_1026_l1-0.0005_beta0.001_alpha0.01_trav50_blk1_temp0.001,0.9922028699295067,0.0034564320459270492,0.0625,1,15,1.1847540737910247,-5.741521860588175,-4.846171866044923,-0.8440570259447676,0.26260698854803416,4598.773553158126,True,600000,50000,846401,0.01,0.001,0.001,0.0005,50.0
run_1033_l1-0.0005_beta0.001_alpha0.01_trav50_blk1_temp1.0_eps-0.01,0.5041580280060071,0.003095486734694619,0.012875536480686695,3,230,11.142908408513543,-0.18533437337930847,-0.016632495447751056,-0.08974317685640919,0.06899044181270127,69314.83246721672,True,600000,50000,15488651,0.01,0.001,1.0,0.0005,50.0
run_1040_l1-0.0005_beta0.001_alpha0.03_trav50_blk1_temp0.1,0.4946967752774037,0.12836715640701774,0.012875536480686695,3,230,0.2989145821753214,0.0063410825994505,0.021213694404949725,-3.3454373243439597,0.07717600062227147,68594.8476427988,True,600000,50000,15606801,0.03,0.001,0.1,0.0005,50.0
run_1048_l1-0.0005_beta0.001_alpha0.1_trav50_blk1_temp0.01,0.7880390717120894,0.99995585992549,0.00014283673760891302,1,7000,0.024916848288274538,-0.032719452557608796,-1.3131457148617804,-40.13348672474695,0.2843286130577772,32664.047636924566,True,600000,50000,8720901,0.1,0.001,0.01,0.0005,50.0
run_1055_l1-0.0005_beta0.001_alpha0.2_trav50_blk1_temp0.0001_eps-0.01,0.905864861659049,0.9998388882642171,0.16666666666666666,1,5,0.023448477432617878,-0.053091075208413475,-2.2641587438236574,-42.64669221588586,0.2581244597233325,24896.638345488347,True,600000,50000,8197301,0.2,0.001,0.0001,0.0005,50.0
run_1062_l1-0.0005_beta0.001_alpha0.2_trav50_blk1_temp1.0,0.48043768844861584,0.0851805542940986,0.375,3,5,0.19050688316336015,0.014914633236084374,0.07828920923185247,-5.249154169104207,0.032583557691702424,68967.14685417277,True,600000,50000,16163151,0.2,0.001,1.0,0.0005,50.0
run_106_l1-1e-06_beta0.003_alpha0.1_trav500_blk1_temp0.0001,0.8299060390618784,0.9999393877000681,0.00014283673760891302,1,7000,0.014164621537048885,-0.02245037969447417,-1.5849614926705322,-70.59842703064159,0.1605852603641864,33160.323165277165,True,600000,50000,67075001,0.1,0.003,0.0001,1e-06,500.0
run_1077_l1-0.0005_beta0.003_alpha0.03_trav50_blk1_temp0.001_eps-0.01,0.9644113032689166,0.6305481812745716,0.0196078431372549,1,50,0.08872024542088719,-0.29273154365479825,-3.299489786869787,-11.2713845104465,0.34046138524144703,16338.770761095142,True,600000,50000,2797501,0.03,0.003,0.001,0.0005,50.0
