"model","formula","n_fixef","n_grid_searched","aic","bic","loglik","n_obs","n_subjects","aic_adj","bic_adj","delta_aic","delta_bic","delta_aic_adj","delta_bic_adj"
"MVT","event ~ scale(X) + (1|subj)",2,2,11738.8936939235,11762.3253425941,-5866.44684696174,18225,275,11742.8936939235,11781.9464417079,0,0,0,0
"Learning_progress_D","event ~ scale(D) + (1|subj)",2,0,12156.7687951978,12180.2004438684,-6075.38439759888,18225,275,12156.7687951978,12180.2004438684,417.875101274285,417.875101274285,413.875101274285,398.254002160531
"Quadratic_surprise","event ~ poly(I, 2) + (1|subj)",3,0,12439.1367074766,12470.3789057041,-6215.56835373831,18225,275,12439.1367074766,12470.3789057041,700.243013553147,708.053563110025,696.243013553147,688.432463996271
