run_id,baseline_stay,reward_modulation,timescale_balance,fitted_alpha_hl,fitted_beta_hl,fitted_T,fitted_eps,beta0,beta1,std_X,aic,valid_mvt,n_decisions,n_fit,n_steps_total,config_alpha,config_beta,config_temp,config_l1,config_trav
run_003_l1-1e-06_beta0.0001_alpha0.03_trav50_blk1_temp1.0,0.4986492326322782,0.01287342473318559,0.044585987261146494,7,150,0.7838911411144679,0.0042354285968698,0.005403082615333857,-1.2756873340580013,0.020183989547563536,69310.22716490588,True,600000,50000,15642001,0.03,0.0001,1.0,1e-06,50.0
run_011_l1-1e-06_beta0.001_alpha0.1_trav50_blk1_temp1.0,0.4944833909806392,0.022136720634874762,0.0021691973969631237,5,2300,0.673705756044409,0.014866888278530721,0.02206733153924654,-1.4843275287885214,0.02983577715851856,69289.27789419056,True,600000,50000,15782851,0.1,0.001,1.0,1e-06,50.0
run_019_l1-1e-05_beta0.0001_alpha0.01_trav50_blk1_temp1.0,0.5014887212060034,0.0,0.16666666666666666,1,5,-31.50947099644038,0.18763582512478766,-0.005954902421116014,0.03173648964506481,0.11612651627531936,69318.12263623619,False,600000,50000,15584301,0.01,0.0001,1.0,1e-05,50.0
run_027_l1-1e-05_beta0.001_alpha0.03_trav50_blk1_temp1.0,0.499118706353618,0.013589672531837294,0.027777777777777776,10,350,0.6312025357089426,0.0022251014414553802,0.0035251782361048842,-1.5842775391845316,0.017156781036630094,69309.70024291053,True,600000,50000,15637951,0.03,0.001,1.0,1e-05,50.0
run_035_l1-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0,0.4927518473401705,0.03150154778239295,0.0021382751247327157,15,7000,0.1772307205445676,0.005138741250855854,0.028994641758868393,-5.642362661097084,0.011172126735077961,69261.31507884087,True,600000,50000,15798351,0.1,0.003,1.0,1e-05,50.0
run_043_l1-0.0001_beta0.001_alpha0.01_trav50_blk1_temp1.0,0.5013467299521492,0.0,0.3333333333333333,1,2,-14.490608171617577,0.07805993296648199,-0.005386932835529719,0.06901021600726719,0.08969532357575526,69317.93463571231,False,600000,50000,15580551,0.01,0.001,1.0,0.0001,50.0
run_051_l1-0.0001_beta0.003_alpha0.03_trav50_blk1_temp1.0,0.49929380187204697,0.0024834851469048846,0.3333333333333333,1,2,18.271296811568924,0.05161265673449497,0.002824794390172412,-0.0547306526905537,0.09075335611231511,69318.3168006833,True,600000,50000,15640251,0.03,0.003,1.0,0.0001,50.0
run_059_dist-1e-05_beta0.0001_alpha0.1_trav50_blk1_temp1.0,0.49335182647403064,0.03708233266187988,0.001996007984031936,3,1500,0.6993954419048645,0.018599905205955013,0.026594261402814623,-1.42980628709334,0.05190339611859326,69244.30742239617,True,600000,50000,15783201,0.1,0.0001,1.0,,50.0
run_067_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0,0.5012208594974672,0.0,0.014084507042253521,1,70,-5012.735613023207,24.479432174605652,-0.004883447694908844,0.00019949186974911983,0.1548962094441624,69318.39983779693,False,600000,50000,15580351,0.01,0.003,1.0,,50.0
run_075_dist-0.0001_beta0.0001_alpha0.03_trav50_blk1_temp1.0,0.4987660076684475,0.014737417648172602,0.009900990099009901,10,1000,0.5647203061789506,0.002787447768596415,0.004935979347824476,-1.7707881035237936,0.016646344608344764,69307.70703508769,True,600000,50000,15639551,0.03,0.0001,1.0,,50.0
run_083_dist-0.0001_beta0.001_alpha0.1_trav50_blk1_temp1.0,0.49313444540084644,0.029809792963628068,0.3333333333333333,10,20,0.13723473786491855,0.0037690072285213243,0.02746394453153103,-7.286784786110856,0.008185846005922655,69268.31258197143,True,600000,50000,15801551,0.1,0.001,1.0,,50.0
run_091_l1-1e-06_beta0.0001_alpha0.01_trav500_blk1_temp1.0,0.49930871608703914,0.0036394267701897465,0.16666666666666666,2,10,7.818634340743617,0.021619598339568887,0.002765137413692208,-0.12789957381545633,0.056911054307516036,69317.97481871388,True,600000,50000,150958001,0.01,0.0001,1.0,1e-06,500.0
run_099_l1-1e-06_beta0.001_alpha0.03_trav500_blk1_temp1.0,0.4979602132391777,0.0072911519606713715,0.014084507042253521,5,350,2.0668459454552828,0.01686379353946664,0.008159192307751752,-0.4838289966404444,0.03014041144657933,69315.28386420148,True,600000,50000,151442501,0.03,0.001,1.0,1e-06,500.0
run_1007_l1-0.0005_beta0.0001_alpha0.1_trav50_blk1_temp0.001_eps-0.01,0.9204663850787543,0.994149939807788,0.16666666666666666,1,5,0.03666281780168788,-0.08977626836303311,-2.4487007204039837,-27.275590365396354,0.27833171518101024,25436.499051011975,True,600000,50000,6449101,0.1,0.0001,0.001,0.0005,50.0
run_1014_l1-0.0005_beta0.0001_alpha0.2_trav50_blk1_temp0.0001,0.9102076286572109,0.9998801236983482,0.16666666666666666,1,5,0.019909224389735556,-0.04611320234385459,-2.31617271678493,-50.22797374846818,0.22606506490273443,25057.041703589326,True,600000,50000,7466601,0.2,0.0001,0.0001,0.0005,50.0
