run_id,baseline_stay,reward_modulation,timescale_balance,fitted_alpha_hl,fitted_beta_hl,fitted_T,fitted_eps,beta0,beta1,std_X,aic,valid_mvt,n_decisions,n_fit,n_steps_total,config_alpha,config_beta,config_temp,config_l1,config_trav
run_002_l1-1e-06_beta0.0001_alpha0.03_trav50_blk1_temp0.0001,0.992347540673026,0.20164552587396967,0.125,1,7,0.03430782164855724,-0.16690914120206252,-4.865046312524527,-29.147872174567325,0.1197502279530642,4944.73645598622,True,600000,50000,1134301,0.03,0.0001,0.0001,1e-06,50.0
run_010_l1-1e-06_beta0.001_alpha0.1_trav50_blk1_temp0.0001,0.9920804638583743,0.5800796169288822,0.0625,1,15,0.01723031391219903,-0.0832305416780606,-4.830471580621264,-58.037247904810485,0.08880092249159609,4815.600863398182,True,600000,50000,1221601,0.1,0.001,0.0001,1e-06,50.0
run_018_l1-1e-05_beta0.0001_alpha0.01_trav50_blk1_temp0.0001,0.9943771559570874,0.01135532791494065,0.125,1,7,0.11632069898674992,-0.6019920676935199,-5.1752789738831675,-8.596922204825384,0.10418543008223036,3674.2493606392313,True,600000,50000,849051,0.01,0.0001,0.0001,1e-05,50.0
run_026_l1-1e-05_beta0.001_alpha0.03_trav50_blk1_temp0.0001,0.9932402980620818,0.16363259943134256,0.047619047619047616,1,20,0.03243182878325781,-0.16183462551489758,-4.98999382971709,-30.8339072299317,0.10897986209272272,4313.215022166323,True,600000,50000,1070851,0.03,0.001,0.0001,1e-05,50.0
run_034_l1-1e-05_beta0.003_alpha0.1_trav50_blk1_temp0.0001,0.988454946172001,0.7824694914661152,0.09090909090909091,1,10,0.016609357498098713,-0.07390974670801258,-4.449885958350471,-60.207024872242705,0.09517534812911653,6846.260681117285,True,600000,50000,1573451,0.1,0.003,0.0001,1e-05,50.0
run_042_l1-0.0001_beta0.001_alpha0.01_trav50_blk1_temp0.0001,0.9942027309102818,0.005908348205827085,0.2857142857142857,2,5,0.17692907429217702,-0.9102212087893877,-5.144554180429765,-5.651982321167976,0.08723704100351556,3635.4075689376737,True,600000,50000,801851,0.01,0.001,0.0001,0.0001,50.0
run_050_l1-0.0001_beta0.003_alpha0.03_trav50_blk1_temp0.0001,0.9848499767450265,0.487298945407018,0.03225806451612903,1,30,0.040881518761895295,-0.17065937902688816,-4.174487254763044,-24.46093076493226,0.1686226674978739,8488.013589263192,True,600000,50000,1701851,0.03,0.003,0.0001,0.0001,50.0
run_058_dist-1e-05_beta0.0001_alpha0.1_trav50_blk1_temp0.0001,0.9946689392406766,0.8347671627429963,0.25,1,3,0.01309089067762794,-0.06845043099298265,-5.228859722277186,-76.38899633536617,0.08965555901147369,3649.3024751466464,True,600000,50000,1098901,0.1,0.0001,0.0001,,50.0
run_066_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp0.0001,0.9955264009359873,0.005813263099413657,0.25,1,3,0.1222986496186194,-0.6610337892850179,-5.405078399037192,-8.17670516492567,0.07513936493519437,2996.923920687166,True,600000,50000,761351,0.01,0.003,0.0001,,50.0
run_074_dist-0.0001_beta0.0001_alpha0.03_trav50_blk1_temp0.0001,0.9973365301568686,0.03888119344401786,0.0625,1,15,0.02502154380238991,-0.14826412017646723,-5.925458530752444,-39.965559595267095,0.06812255165242215,1911.613449933227,True,600000,50000,794251,0.03,0.0001,0.0001,,50.0
run_082_dist-0.0001_beta0.001_alpha0.1_trav50_blk1_temp0.0001,0.9929454500783982,0.13014422982039653,0.3333333333333333,1,2,0.01861850872426145,-0.09210581740601342,-4.9470029404660085,-53.70999443671435,0.05679177432493112,4588.076227600815,True,600000,50000,1146401,0.1,0.001,0.0001,,50.0
run_090_l1-1e-06_beta0.0001_alpha0.01_trav500_blk1_temp0.0001,0.9900733778806661,0.8585603968665965,0.09090909090909091,1,10,0.022724061137671454,-0.10458882775449839,-4.602558808518311,-44.00621851620623,0.14557214001202032,6028.854722740531,True,600000,50000,8041501,0.01,0.0001,0.0001,1e-06,500.0
run_098_l1-1e-06_beta0.001_alpha0.03_trav500_blk1_temp0.0001,0.9795641065151641,0.7490448050359919,0.09090909090909091,1,10,0.02080048315526083,-0.08049401847920046,-3.8698148441250035,-48.07580634236765,0.10325597766558298,10856.25387377509,True,600000,50000,15174501,0.03,0.001,0.0001,1e-06,500.0
run_1006_l1-0.0005_beta0.0001_alpha0.1_trav50_blk1_temp0.001,0.8989161165273539,0.9985947943561871,0.125,1,7,0.03348630796248937,-0.07317558682918952,-2.1852390210099966,-29.862951780774935,0.29347417333785547,27358.77122301469,True,600000,50000,7118051,0.1,0.0001,0.001,0.0005,50.0
run_1013_l1-0.0005_beta0.0001_alpha0.1_trav50_blk1_temp1.0_eps-0.01,0.4915201557721438,0.03558457950952071,0.014084507042253521,5,350,0.7525669223500205,0.02552904892692879,0.03392262956124874,-1.328785481133461,0.05359758879233607,69250.73866679745,True,600000,50000,15844701,0.1,0.0001,1.0,0.0005,50.0
run_1020_l1-0.0005_beta0.0001_alpha0.2_trav50_blk1_temp0.1,0.4938127931046213,0.8735854189221335,0.00014283673760891302,1,7000,0.09193748409612279,0.0022754610910896583,0.024750090928207374,-10.876956334311657,0.24789195093326089,52382.77312900818,True,600000,50000,14666801,0.2,0.0001,0.1,0.0005,50.0
run_1028_l1-0.0005_beta0.001_alpha0.01_trav50_blk1_temp0.01,0.9707094342538527,0.0075247516503405,0.4166666666666667,5,7,0.1244932312843778,-0.43582113645078,-3.500761703704526,-8.032565222085985,0.016434092693875406,13258.9065740413,True,600000,50000,1502351,0.01,0.001,0.01,0.0005,50.0
