run_id,baseline_stay,reward_modulation,timescale_balance,fitted_alpha_hl,fitted_beta_hl,fitted_T,fitted_eps,beta0,beta1,std_X,aic,valid_mvt,n_decisions,n_fit,n_steps_total,config_alpha,config_beta,config_temp,config_l1,config_trav
run_2333_l1-1e-05_beta0.001_alpha0.2_trav50_blk1_temp0.003_eps-0.01,0.9851480811115221,0.9919249494603867,0.125,1,7,0.012288222245643254,-0.051544949850731644,-4.194662891046484,-81.37873648521831,0.11066480716287402,8344.338176101284,True,600000,50000,2055501,0.2,0.001,0.003,1e-05,50.0
run_2340_l1-1e-05_beta0.003_alpha0.03_trav50_blk1_temp0.003,0.9692511442337185,0.6065188923762499,0.002849002849002849,1,350,0.03345125953178484,-0.11542929032271423,-3.4506709743779664,-29.89424057559974,0.1299949811589263,13142.168999085374,True,600000,50000,2372851,0.03,0.003,0.003,1e-05,50.0
run_2348_l1-1e-05_beta0.003_alpha0.2_trav50_blk1_temp0.003,0.89610253555652,0.9999894786415188,0.006622516556291391,1,150,0.010201763436128589,-0.02198123315257416,-2.1546503494415177,-98.02226901856926,0.13905102236447744,27154.492080523487,True,600000,50000,5290851,0.2,0.003,0.003,1e-05,50.0
run_2355_l1-1e-05_beta0.01_alpha0.01_trav50_blk1_temp0.005_eps-0.01,0.9922293245385013,0.0,0.09090909090909091,1,10,-12.866744044813675,62.39852540281807,-4.849597161915229,0.07771973985936868,3.5166031643410918,4547.1714104242365,False,600000,50000,819551,0.01,0.01,0.005,1e-05,50.0
run_2362_l1-1e-05_beta0.01_alpha0.1_trav50_blk1_temp0.005,0.838317456283017,0.999594098253409,0.004329004329004329,1,230,0.014517274261143822,-0.023891979031782244,-1.6457620488530873,-68.88345442894523,0.13778788611041415,33925.78587946294,True,600000,50000,6927201,0.1,0.01,0.005,1e-05,50.0
run_236_l1-1e-05_beta0.0001_alpha0.01_trav50_blk1_temp0.001_eps-0.01,0.9976334443521023,0.0033469197916969895,0.09090909090909091,1,10,0.14737651810843344,-0.890736355797421,-6.043950333675645,-6.785341469827928,0.09733976076690175,1680.5122126589542,True,600000,50000,685501,0.01,0.0001,0.001,1e-05,50.0
run_2377_l1-0.0001_beta0.0001_alpha0.1_trav50_blk1_temp0.003_eps-0.01,0.9750627784494063,0.9947271906753731,0.125,1,7,0.023917836099025484,-0.08768614349025589,-3.6661403283814877,-41.80980235251066,0.21302914286053606,12414.813727596707,True,600000,50000,2769301,0.1,0.0001,0.003,0.0001,50.0
run_2384_l1-0.0001_beta0.001_alpha0.01_trav50_blk1_temp0.003,0.9872576283468205,0.014401102663015086,0.2222222222222222,2,7,0.1319644017660346,-0.57404491491844,-4.349998236162121,-7.577801184390191,0.07217306504326441,7017.573325925295,True,600000,50000,1016901,0.01,0.001,0.003,0.0001,50.0
run_2391_l1-0.0001_beta0.001_alpha0.03_trav50_blk1_temp0.005_eps-0.01,0.9743810864902606,0.6338098091979318,0.00014283673760891302,1,7000,0.054585996930893076,-0.1986095995184771,-3.6384715986761345,-18.319716708041796,0.22864902128038994,12288.43942647733,True,600000,50000,2105051,0.03,0.001,0.005,0.0001,50.0
run_2399_l1-0.0001_beta0.001_alpha0.2_trav50_blk1_temp0.005_eps-0.01,0.9327538243686773,0.9999999504889624,0.00028563267637817766,1,3500,0.012047329373991326,-0.03168183985536077,-2.6297811632641084,-83.00594836884551,0.23484308363182416,20264.891126187817,True,600000,50000,4420901,0.2,0.001,0.005,0.0001,50.0
run_2406_l1-0.0001_beta0.003_alpha0.03_trav50_blk1_temp0.005,0.9294412058318605,0.8221020979440303,0.0006662225183211193,1,1500,0.03913605460466776,-0.10089811939279382,-2.578137229519291,-25.551885853121483,0.16113331099854683,23241.45122326003,True,600000,50000,3891251,0.03,0.003,0.005,0.0001,50.0
