run_id,numeric_id,beta,alpha,temp,reg_type,reg_value,travel,eps,norm_dist_network,cohort
run_1459_dist-0.0005_beta0.01_alpha0.03_trav50_blk1_temp1.0_eps-0.01,1459,0.01,0.03,1.0,Distance,0.0005,50,-0.01,0.6197757332318915,C-temp
run_1468_dist-0.0005_beta0.01_alpha0.1_trav50_blk1_temp1.0,1468,0.01,0.1,1.0,Distance,0.0005,50,0.0,0.5781674738683941,C-temp
run_2109_dist-0.0005_beta0.0001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,2109,0.0001,0.1,1.0,Distance,0.0005,500,-0.01,0.535267302888079,C-temp
run_2158_dist-0.0005_beta0.001_alpha0.2_trav500_blk1_temp1.0,2158,0.001,0.2,1.0,Distance,0.0005,500,0.0,0.5869794052660624,C-temp
run_1428_dist-0.0005_beta0.003_alpha0.1_trav50_blk1_temp1.0,1428,0.003,0.1,1.0,Distance,0.0005,50,0.0,0.5834223394435071,C-temp
run_2199_dist-0.0005_beta0.003_alpha0.2_trav500_blk1_temp1.0_eps-0.01,2199,0.003,0.2,1.0,Distance,0.0005,500,-0.01,0.6158761059178184,C-temp
run_2169_dist-0.0005_beta0.003_alpha0.01_trav500_blk1_temp1.0_eps-0.01,2169,0.003,0.01,1.0,Distance,0.0005,500,-0.01,0.6061954577552608,C-temp
run_2089_dist-0.0005_beta0.0001_alpha0.01_trav500_blk1_temp1.0_eps-0.01,2089,0.0001,0.01,1.0,Distance,0.0005,500,-0.01,0.6170207938711626,C-temp
run_2168_dist-0.0005_beta0.003_alpha0.01_trav500_blk1_temp1.0,2168,0.003,0.01,1.0,Distance,0.0005,500,0.0,0.4490924559993557,C-temp
run_2159_dist-0.0005_beta0.001_alpha0.2_trav500_blk1_temp1.0_eps-0.01,2159,0.001,0.2,1.0,Distance,0.0005,500,-0.01,0.5911965637787199,C-temp
run_1468_dist-0.0005_beta0.01_alpha0.1_trav50_blk1_temp1.0,1468,0.01,0.1,1.0,Distance,0.0005,50,0.0,0.5781674738683941,C-temp
run_1418_dist-0.0005_beta0.003_alpha0.03_trav50_blk1_temp1.0,1418,0.003,0.03,1.0,Distance,0.0005,50,0.0,0.6064965190799998,C-temp
run_1469_dist-0.0005_beta0.01_alpha0.1_trav50_blk1_temp1.0_eps-0.01,1469,0.01,0.1,1.0,Distance,0.0005,50,-0.01,0.6229134878276337,C-temp
run_2149_dist-0.0005_beta0.001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,2149,0.001,0.1,1.0,Distance,0.0005,500,-0.01,0.5998501892808679,C-temp
run_2119_dist-0.0005_beta0.0001_alpha0.2_trav500_blk1_temp1.0_eps-0.01,2119,0.0001,0.2,1.0,Distance,0.0005,500,-0.01,0.5952387439140139,C-temp
run_1458_dist-0.0005_beta0.01_alpha0.03_trav50_blk1_temp1.0,1458,0.01,0.03,1.0,Distance,0.0005,50,0.0,0.5751715480555906,C-temp
run_1439_dist-0.0005_beta0.003_alpha0.2_trav50_blk1_temp1.0_eps-0.01,1439,0.003,0.2,1.0,Distance,0.0005,50,-0.01,0.6220048120787115,C-temp
run_1458_dist-0.0005_beta0.01_alpha0.03_trav50_blk1_temp1.0,1458,0.01,0.03,1.0,Distance,0.0005,50,0.0,0.5751715480555906,C-temp
run_2109_dist-0.0005_beta0.0001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,2109,0.0001,0.1,1.0,Distance,0.0005,500,-0.01,0.535267302888079,C-temp
run_1478_dist-0.0005_beta0.01_alpha0.2_trav50_blk1_temp1.0,1478,0.01,0.2,1.0,Distance,0.0005,50,0.0,0.5411387801011426,C-temp
run_1428_dist-0.0005_beta0.003_alpha0.1_trav50_blk1_temp1.0,1428,0.003,0.1,1.0,Distance,0.0005,50,0.0,0.5834223394435071,C-temp
run_2179_dist-0.0005_beta0.003_alpha0.03_trav500_blk1_temp1.0_eps-0.01,2179,0.003,0.03,1.0,Distance,0.0005,500,-0.01,0.6354963279810683,C-temp
run_2128_dist-0.0005_beta0.001_alpha0.01_trav500_blk1_temp1.0,2128,0.001,0.01,1.0,Distance,0.0005,500,0.0,0.6022555337750238,C-temp
run_1438_dist-0.0005_beta0.003_alpha0.2_trav50_blk1_temp1.0,1438,0.003,0.2,1.0,Distance,0.0005,50,0.0,0.5615166435636579,C-temp
run_2514_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp0.005,2514,0.001,0.01,0.005,Distance,1e-05,50,0.0,0.8530359092729254,C-reg
run_2532_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp0.003,2532,0.003,0.03,0.003,Distance,1e-05,50,0.0,0.8128759504488915,C-reg
run_2965_dist-1e-05_beta0.001_alpha0.03_trav500_blk1_temp0.003_eps-0.01,2965,0.001,0.03,0.003,Distance,1e-05,500,-0.01,0.802976618312767,C-reg
run_2508_dist-1e-05_beta0.0001_alpha0.2_trav50_blk1_temp0.003,2508,0.0001,0.2,0.003,Distance,1e-05,50,0.0,0.8227915606484679,C-reg
run_2530_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp0.005,2530,0.003,0.01,0.005,Distance,1e-05,50,0.0,0.8147945695714839,C-reg
run_2985_dist-1e-05_beta0.003_alpha0.1_trav500_blk1_temp0.003_eps-0.01,2985,0.003,0.1,0.003,Distance,1e-05,500,-0.01,0.8329859502976598,C-reg
run_2551_dist-1e-05_beta0.01_alpha0.03_trav50_blk1_temp0.005_eps-0.01,2551,0.01,0.03,0.005,Distance,1e-05,50,-0.01,0.8119806361714996,C-reg
run_2552_dist-1e-05_beta0.01_alpha0.1_trav50_blk1_temp0.003,2552,0.01,0.1,0.003,Distance,1e-05,50,0.0,0.8350342479722433,C-reg
run_2953_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp0.003_eps-0.01,2953,0.0001,0.1,0.003,Distance,1e-05,500,-0.01,0.8124024983706942,C-reg
run_1926_dist-1e-05_beta0.001_alpha0.2_trav500_blk1_temp0.0001,1926,0.001,0.2,0.0001,Distance,1e-05,500,0.0,0.8421625063483279,C-reg
run_2536_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp0.003,2536,0.003,0.1,0.003,Distance,1e-05,50,0.0,0.7878967687308999,C-reg
run_2991_dist-1e-05_beta0.003_alpha0.2_trav500_blk1_temp0.005_eps-0.01,2991,0.003,0.2,0.005,Distance,1e-05,500,-0.01,0.8001812867085215,C-reg
run_2977_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp0.003_eps-0.01,2977,0.003,0.01,0.003,Distance,1e-05,500,-0.01,0.8330069298190919,C-reg
run_2945_dist-1e-05_beta0.0001_alpha0.01_trav500_blk1_temp0.003_eps-0.01,2945,0.0001,0.01,0.003,Distance,1e-05,500,-0.01,0.8174592801803829,C-reg
run_649_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp0.001,649,0.003,0.01,0.001,Distance,1e-05,500,0.0,0.8392824507664981,C-reg
run_2973_dist-1e-05_beta0.001_alpha0.2_trav500_blk1_temp0.003_eps-0.01,2973,0.001,0.2,0.003,Distance,1e-05,500,-0.01,0.8216453204037529,C-reg
